seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_synth_rows,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,mixed,0,252,0,False,6.608211006661772,38.56381417551938,-0.006983920063171278,-0.002670010134873737,-0.004328927673707788,0.2693265955328188,0.040756355276989384,60,ok,0.29999991993218733,0.2799997143734379
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,regime,5,294,105,False,6.711515571670145,27.848549977330894,-0.021143020330049667,-0.006015394629219887,-0.007242441870924624,0.5888024583331113,0.08773017838452087,60,ok,0.29999996642268173,0.2799995635205539
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,mixed,5,357,105,False,5.66221313443736,31.162718113003542,-0.027203326032093078,-0.007400206593205442,-0.014175189101860408,0.8477295808742478,0.14971700300689664,60,ok,0.29999999169503444,0.2799999134973571
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,regime,0,504,0,False,0.2332414151591906,0.4217961499720618,-0.07262726653126272,-0.01493111015437142,-0.022145137983384643,0.030633901405881396,0.13133988826544085,60,ok,0.2999999966710846,0.2799999539598088
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,mixed,0,252,0,False,1.01715060139007,2.311159380564455,-0.051008636739435564,-0.009689049420350879,-0.017747097580359278,0.11788908929015121,0.1159013120859785,60,ok,0.29999997680692725,0.27999992325380596
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,regime,5,609,105,False,0.2934615443749988,0.46346462085556356,-0.06513429560213357,-0.01240332345897637,-0.01631277985206732,0.030187441615937036,0.1028667714546003,60,ok,0.2999999970753461,0.2799999833386847
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,mixed,5,357,105,False,0.7066577964856975,1.1995163759133256,-0.053762178446797315,-0.008609980570596431,-0.013351789328565988,0.06448861345170782,0.09125861735682847,60,ok,0.2999999899097291,0.2762675845108343
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,regime,0,504,0,False,0.05649300879750973,0.14583890048149695,-0.05878995829884048,-0.012325552658423621,-0.027285585737709228,0.008573862877655953,0.15176856499868172,60,ok,0.2999999866160301,0.2799999662701958
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,mixed,0,252,0,False,0.7471399011604436,2.193177464013401,-0.04184604642374512,-0.01022451640783693,-0.021695954600124693,0.09177580597461636,0.12283617275970928,60,ok,0.2999999497566855,0.27999980616090947
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,regime,5,609,105,False,0.24128077950584584,0.7082547990728724,-0.049026464120689894,-0.01061168321710642,-0.024892196025591482,0.034723228495052605,0.14391212000461615,60,ok,0.2999999696637499,0.2799999224205145
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,mixed,5,357,105,False,0.484320375205846,1.3977622299375727,-0.04780108528146343,-0.010405954238459605,-0.024582702146947896,0.06681455155645441,0.13795527707884864,60,ok,0.2999999924993387,0.2799999725206188
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,regime,0,249,0,False,0.5095736135393398,1.259806211959708,-0.01612926207837717,-0.004740063574348429,-0.006031051765571195,0.02031974456066571,0.039875974777287,60,ok,0.29999993161638666,0.27776542345744226
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,mixed,0,252,0,False,2.353412870526836,9.146081703459949,-0.013402201754407206,-0.006321191717654714,-0.006809295835937021,0.12257763225206257,0.052085052218067585,60,ok,0.29999999414508466,0.27999997222105366
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,regime,5,354,105,False,3.4406788295510333,7.847392466202922,-0.0411405364277414,-0.009585372408104071,-0.014114891828299355,0.32284593561860475,0.0938320464106591,60,ok,0.29999999296001345,0.26662116051895846
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,mixed,5,357,105,False,4.1271064077954325,9.810877629483231,-0.03092520782541841,-0.006004022614625229,-0.009438321002697621,0.30340342964151723,0.07351480666174187,60,ok,0.2999999212221942,0.2799996295329186
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,regime,0,504,0,False,2.5487271983015853,5.992365562623527,-0.03778030288086398,-0.008833065545859803,-0.01357687191048036,0.22639338592877573,0.0888260564251989,60,ok,0.29999999852114595,0.2799999952854674
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,mixed,0,252,0,False,2.922854414996184,7.880531858070791,-0.031557644961912046,-0.009044237848642715,-0.013398835994236342,0.24869102648803507,0.08508498583168732,60,ok,0.2999999766344355,0.26000911777532065
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,regime,5,609,105,False,2.6070750052967404,5.684862989294641,-0.04208098919940695,-0.008630849220941659,-0.013906084613363566,0.23922465805261606,0.09175979117079036,60,ok,0.29999998815836304,0.27999988600235853
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,mixed,5,357,105,False,2.7055953294665707,6.79753605896777,-0.03560635290628611,-0.009986087347388184,-0.013699960913016835,0.2420354678088117,0.08945737936963799,60,ok,0.29999998794007865,0.2799999524243528
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,regime,0,504,0,False,-1.2274460273962378,-2.125279695144539,-0.3939638614109108,-0.08145254600017404,-0.10975775544618378,-0.837283395277346,0.6821345921445217,60,ok,0.2999999953991915,0.27999997838892304
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,mixed,0,252,0,False,-1.227446048836323,-2.1252796967475844,-0.39396385328810035,-0.08145254336424698,-0.1097577518732184,-0.8372833786456437,0.6821345666796745,60,ok,0.2999999940750805,0.2799999689044042
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,regime,5,609,105,False,-1.112496522149575,-1.9398287816091233,-0.38795945951942123,-0.0819818359676951,-0.10792226268707723,-0.7525749256732929,0.6764739580660992,60,ok,0.29999999544010303,0.27999998762674083
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,mixed,5,357,105,False,-1.500543936424405,-2.2538574334829344,-0.34708363773169004,-0.06529425024848583,-0.08951425787350327,-0.7822770369418676,0.5213289780810609,60,ok,0.29999999875348937,0.27999997912907226
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,regime,0,47,0,False,4.1564344925744905,13.087612798502121,-0.021064120329437164,-0.005102141877742726,-0.011179143733591995,0.27567905081273053,0.06632585002969102,60,ok,0.2999999970617406,0.279999986054172
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,mixed,0,252,0,False,3.8147724675197834,11.553684453357025,-0.025809406045499528,-0.006437933726398487,-0.012968198397779023,0.2981937333782667,0.07816815705712081,60,ok,0.2999999971146733,0.2751966544390913
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,regime,5,185,138,True,2.953232323710276,8.6674504895785,-0.07694423455297172,-0.016877017069226948,-0.03564461410815507,0.6669103434463977,0.22582386698535412,60,ok_synth_fill,0.2999999972354649,0.2799999742467841
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,mixed,5,357,105,False,3.53629608023233,10.24857479474237,-0.07564290362786519,-0.016971873483913155,-0.031846107091376134,0.7752319555216652,0.219221450334762,60,ok,0.29999998166683206,0.27897219607258783
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,regime,0,504,0,False,0.5369643361339278,0.957818960288895,-0.06937304915198395,-0.015171216945028486,-0.018500473656624185,0.06644682181082368,0.1237453166614975,60,ok,0.2999999654080488,0.27999976307609026
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,mixed,0,252,0,False,1.1660014522608433,2.106397714947661,-0.0608639857979939,-0.012375784557672583,-0.015711048896667367,0.12820376060750124,0.10995163029936013,60,ok,0.2999999513938953,0.26055298334188937
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,regime,5,609,105,False,0.8883171756774784,1.8088773775115752,-0.0854923996532786,-0.021916645994654645,-0.025613547778865597,0.15464526768199408,0.1740878955357959,60,ok,0.2999999674251884,0.2776230630567679
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,mixed,5,357,105,False,1.1071950274975024,2.2289851779271284,-0.08184368193512526,-0.020717084647785412,-0.024522192250642314,0.18242835394037646,0.16476623305715488,60,ok,0.29999998457397686,0.2799999545551614
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,regime,0,504,0,False,5.36845891619669,59.16068579708499,-0.011678095399429766,-0.01004588363252398,-0.01584872909707343,0.6908841326340481,0.12869319546241556,60,ok,0.29999994413578657,0.27999936413222676
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,mixed,0,252,0,False,5.0186343917680905,55.55611807049617,-0.008519367577619286,-0.006109018256540118,-0.012449747128598872,0.47330299102817397,0.0943091195892887,60,ok,0.2999999129617673,0.2799988494538355
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,regime,5,609,105,False,5.812451168588907,61.344448792814326,-0.012296423429952519,-0.008883613707747528,-0.016280012530862083,0.7543173174334846,0.12977611261663483,60,ok,0.29999999770256014,0.2756058559252725
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,mixed,5,357,105,False,6.355797722348729,65.41467166332139,-0.014272363043369207,-0.010572836043734116,-0.017289510700932664,0.933621942341719,0.14689296027449836,60,ok,0.2999999407191985,0.27999959848832806
42,2021-01-20,2021-04-13,0,2,0,1.9711605180350555,low,calm,2051,504,False,random,regime,0,504,0,False,1.4697238548640108,5.021796030351018,-0.05153046469239886,-0.019555373279775502,-0.02339736080717275,0.2587754830344319,0.17607081913926997,60,ok,0.2999999455679167,0.2799998197957864
42,2021-01-20,2021-04-13,0,2,0,1.9711605180350555,low,calm,2051,504,False,random,mixed,0,252,0,False,0.9182290918819154,2.740298416234271,-0.05628340130584819,-0.019362388268434814,-0.02099455232537341,0.1542333154586937,0.16796823017509904,60,ok,0.2999999457904411,0.2663341999090916
