bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,test_start
BASE,-1.083768883957996,-1.3996800622408527,-0.03385402544118532,-0.0042230841322309955,-0.006316131753919432,-0.04738480443662168,0.043722241095877586,60,regime,0,0,low,2020-08-05
REGIME_VOL,-1.0837688839579962,-1.3990510597921089,-0.032824397348381606,-0.004092804186092222,-0.006121282378690123,-0.04592300789729058,0.04237343272818158,60,regime,0,0,low,2020-08-05
VOL_SCALE_1.8x,-1.0837688839579962,-1.4160786592729981,-0.060231575009899174,-0.007601551438015793,-0.011369037157054977,-0.08529264798591904,0.07870003397257967,60,regime,0,0,low,2020-08-05
NEG_SHOCK_-10%,-2.1992236052108747,-3.599901249755875,-0.1298326737346801,-0.004723962035691009,-0.038918519633128985,-0.46738480443662167,0.21252263904824997,60,regime,0,0,low,2020-08-05
CORR_INFLATE_1.3,-0.4894835997023563,-0.6260007799966427,-0.03734042495967804,-0.004633988918847188,-0.007332280344542116,-0.02337513515016456,0.047754685068873495,60,regime,0,0,low,2020-08-05
WHIPSAW,-3.2163232255254113,-2.438012413224725,-0.1065243689891523,-0.010962071177123943,-0.016853664623723185,-0.2597077339064843,0.08074677689275432,60,regime,0,0,low,2020-08-05
SLOW_BLEED,-4.129935655979947,-3.4046330488550995,-0.06303477259512358,-0.005840383867940736,-0.007599045192515451,-0.21461027000442345,0.05196455535419255,60,regime,0,0,low,2020-08-05
CRASH_2008,-1.5358038595354087,-5.632834557406924,-0.9789349272916977,-0.36852907616044683,-0.49851404937327803,-5.51417848790131,3.590418433750641,60,regime,0,0,low,2020-08-05
BASE,1.0472773634404282,1.900852760023928,-0.08081166269952456,-0.014780189988109706,-0.022250844138932874,0.15361107208451397,0.1466765896475445,60,mixed,0,0,low,2020-08-05
REGIME_VOL,1.0472773634404278,1.8992623117717973,-0.07838424928832322,-0.014324228824353658,-0.021564417185266912,0.1488722505098376,0.1421516932446386,60,mixed,0,0,low,2020-08-05
VOL_SCALE_1.8x,1.0472773634404282,1.9429276383363265,-0.14231097663981152,-0.026604341978597474,-0.04005151945007918,0.2764999297521251,0.26401786136558003,60,mixed,0,0,low,2020-08-05
NEG_SHOCK_-10%,-1.143207728536542,-2.0895810587016435,-0.12748437147540292,-0.018242939191442823,-0.045976448089329415,-0.266388927915486,0.23301883049417388,60,mixed,0,0,low,2020-08-05
CORR_INFLATE_1.3,0.998104546731953,1.7839625727251962,-0.07356492763069711,-0.013731711014714263,-0.019701545814726048,0.13123707755840128,0.13148630370245754,60,mixed,0,0,low,2020-08-05
WHIPSAW,-0.31343800370850533,-0.3900524821088192,-0.15052296826294476,-0.018120724987296083,-0.0337958145464212,-0.05871185738534862,0.18731569462122455,60,mixed,0,0,low,2020-08-05
SLOW_BLEED,-0.0927332802165377,-0.15338080801195236,-0.08876204043876856,-0.015419108520531313,-0.021502844325985256,-0.013614393483287914,0.14681237902398686,60,mixed,0,0,low,2020-08-05
CRASH_2008,-1.4321038283482115,-5.315987116330215,-0.9789665477652318,-0.3665720818174628,-0.5005884093993002,-5.20417355523824,3.6339359285427886,60,mixed,0,0,low,2020-08-05
BASE,6.075937077761763,42.63813075999634,-0.019062491738019216,-0.009658995352724091,-0.015933441913411058,0.8127890153370133,0.1337717960101763,60,regime,0,0,low,2020-10-28
REGIME_VOL,6.075937077761765,42.638130759996336,-0.01860168093570569,-0.009425501774906338,-0.015548271797528927,0.7931409040923502,0.13053803782716675,60,regime,0,0,low,2020-10-28
VOL_SCALE_1.8x,6.075937077761763,42.6381307599964,-0.034312485128434544,-0.017386191634903368,-0.02868019544413991,1.463020227606624,0.24078923281831735,60,regime,0,0,low,2020-10-28
NEG_SHOCK_-10%,1.751762180566416,4.558939891776381,-0.08615797195430097,-0.014207461131008778,-0.03992292536821578,0.3927890153370134,0.22422508014758527,60,regime,0,0,low,2020-10-28
CORR_INFLATE_1.3,6.319315178290159,45.21482994179853,-0.016404893572440682,-0.008099982350772464,-0.014607092059515095,0.7417444730912092,0.11737735057739371,60,regime,0,0,low,2020-10-28
WHIPSAW,3.8040200097152392,7.778966573012062,-0.07719098420481407,-0.013808073262684881,-0.020497684061554538,0.6004660858671508,0.15785040150514362,60,regime,0,0,low,2020-10-28
SLOW_BLEED,4.6572662266512905,28.39748280975829,-0.022733125822947065,-0.010858842017866974,-0.01769627945830583,0.6455635497692116,0.13861426818912836,60,regime,0,0,low,2020-10-28
CRASH_2008,-1.2981961140550067,-4.798802143889377,-0.9764315363361115,-0.3699655104710816,-0.49583164495001025,-4.68570174993093,3.6093943736241916,60,regime,0,0,low,2020-10-28
BASE,3.43286318999201,29.38813780043249,-0.01364371206030901,-0.008976336161516258,-0.01650033172970335,0.40096329013778387,0.11680141850882124,60,mixed,0,0,low,2020-10-28
REGIME_VOL,3.4328631899920103,29.386612249969183,-0.013314584334066848,-0.008759344976666352,-0.016101457794055207,0.3912705270947366,0.11397789700312737,60,mixed,0,0,low,2020-10-28
VOL_SCALE_1.8x,3.4328631899920103,29.438965772201033,-0.02451627981202853,-0.01615740509072926,-0.029700597113466037,0.721733922248011,0.21024255331587824,60,mixed,0,0,low,2020-10-28
NEG_SHOCK_-10%,-0.0945329653700827,-0.23421785065088313,-0.08127779248812095,-0.009773357467762847,-0.040370090029665885,-0.019036709862216183,0.201376417080436,60,mixed,0,0,low,2020-10-28
CORR_INFLATE_1.3,3.9322342853286187,38.44631396274091,-0.01105321706832596,-0.008033634803349869,-0.014966777649976282,0.4249554537071865,0.10806971886001773,60,mixed,0,0,low,2020-10-28
WHIPSAW,1.3672077608468747,2.626031613235126,-0.07183476379994025,-0.012029957640237168,-0.02207859864736557,0.1886403606679213,0.1379749048170074,60,mixed,0,0,low,2020-10-28
SLOW_BLEED,1.8542871248945731,11.979846718024476,-0.019510919469304056,-0.009864546184052919,-0.018157856465924514,0.23373782456998204,0.12605266003951324,60,mixed,0,0,low,2020-10-28
CRASH_2008,-1.4188626141125391,-5.2100925092254835,-0.9779059140017554,-0.3680719184589486,-0.49749450576453297,-5.094980277267846,3.590890496790361,60,mixed,0,0,low,2020-10-28
BASE,0.7434889619747455,2.0119941942062636,-0.09552295740805106,-0.02831666708556441,-0.033986154775744494,0.1921916357184109,0.25849964901689987,60,regime,0,0,low,2021-01-20
REGIME_VOL,0.7434889619747448,2.01212782286192,-0.09570536121561524,-0.028372622839460494,-0.03405331384170235,0.19257142009898953,0.25901046276128964,60,regime,0,0,low,2021-01-20
VOL_SCALE_1.8x,0.7434889619747452,2.0671125285481127,-0.16735660952919795,-0.050970000754015934,-0.0611750785963401,0.34594494429313954,0.4652993682304198,60,regime,0,0,low,2021-01-20
NEG_SHOCK_-10%,-0.6447232521104184,-1.61237347203969,-0.14128759138750036,-0.02971975021612217,-0.06390356656921538,-0.22780836428158896,0.35334287003902476,60,regime,0,0,low,2021-01-20
CORR_INFLATE_1.3,0.8273808324419099,2.2585695827743164,-0.07910024630471724,-0.023773429816246004,-0.02811348185087281,0.17865341029379087,0.2159264552534024,60,regime,0,0,low,2021-01-20
WHIPSAW,-0.07146960839429371,-0.13480244502159466,-0.14933923304007501,-0.02971975021612217,-0.03678170306856,-0.020131293751451826,0.2816762845598459,60,regime,0,0,low,2021-01-20
SLOW_BLEED,0.09631549672878403,0.23770991189913313,-0.10502788861914525,-0.02985167404343309,-0.03555198427633454,0.024966170150608983,0.2592123905139744,60,regime,0,0,low,2021-01-20
CRASH_2008,-1.5363356997950137,-5.564830647167772,-0.979086891621496,-0.35696911675745824,-0.4920974084941103,-5.448452740735532,3.546394672376939,60,regime,0,0,low,2021-01-20
